premise_code,premise,address,premise_type,state,district
18614,1 MALAYSIA CAFE,"82A - 82B, JALAN MASJID,SARIKEI,SARAWAK",Restoran Melayu,Sarawak,Sarikei
21872,100% DISCOUNT STORE,"LOT 838, BLOCK 4, STD, 95000 SRI AMAN, SARAWAK,LOT 838, BLOCK 4, STD, 95000 SRI AMAN, SARAWAK,",Kedai Runcit,Sarawak,Sri Aman
21295,101 SUPERMAN SPEEDMART SDN BHD,"NO.13, 14, 15, 16 & 17, BLOCK 68, MUKAH LAND DISTRICT,BOULEVARD SETIA RAJA, MUKAH,",Pasar Raya / Supermarket,Sarawak,Mukah
16659,22 MART,"NO.10 & 11A, JALAN UA1,TAMAN DATO' UNDANG ABDULLAH,KUALA KLAWANG,JELEBU, NEGERI SEMBILAN.",Pasar Mini,Negeri Sembilan,Jelebu
21216,22 MART SDN BHD,"NO10A & 11A, TAMAN DATO' UNDANG ABDULLAH,,KUALA KLAWANG,",Pasar Mini,Negeri Sembilan,Jelebu
18611,2218 KOPITIAM,"NO.6, GERAI MDHS,JALAN ABDUL HAMID,44000 KUALA KUBU BHARU, HULU SELANGOR, SELANGOR",Restoran Cina,Selangor,Hulu Selangor
18064,338 TIGA TIGA LAPAN MINI MARKET,"NO. 30, 32 JALAN SAUJANA PERMAI 1,TAMAN SAUJANA PERMAI,75450 BUKIT KATIL, MELAKA",Pasar Mini,Melaka,Melaka Tengah
21937,68 FRESH MART SDN BHD,"NO. 34, 35 & 36, JALAN BISTARI 4/9,TAMAN YAYASAN,",Pasar Mini,Johor,Segamat
18173,7 ELEVEN SEAFEST SQUARE,"SEAFEST SQUARE, JALAN KASTAM 91308 SEMPORNA,",Kedai Serbaneka,Sabah,Semporna
20820,79 FRESH MART SDN BHD,"LOT 2526,TAMAN ROD,",Kedai Runcit,Perak,Hilir Perak
22128,8090 SUPERSTORE KUNDASANG,"JALAN KIBBAS, MOHIMBOYON KUNDASANG,KG DUMPIRING ATAS,",Pasar Mini,Sabah,Ranau
21632,81 SPEEDMART GRAB & GO,"LOT 2041, KAMPUNG WAKAF STAN,KOTA BHARU,",Pasar Mini,Kelantan,Kota Bharu
18166,88 FRESH MART INANAM,"NO.46-0, LOT 2,GROUND FLOOR, BLOCK F, INANAM NEW TOWNSHIP, PHASE 2,JALAN TUARAN KOTA KINABALU",Kedai Runcit,Sabah,Kota Kinabalu
21987,88 FRESH MART KUDAT,"NO BGN 0862,TAMAN SER KAPOR,",Kedai Runcit,Sabah,Kudat
22006,88 FRESH MART SUPERSTORE,"JALAN KENINGAU-APIN APIN,ONE PLAZA,",Pasar Mini,Sabah,Keningau
17298,88 FRESHMART,"GROUND FLOOR, LOT NO 2, RANAU PLAZA, 89307, RANAU,",Pasar Mini,Sabah,Ranau
22062,88 FRESHMART KOTA BELUD 2,"Ground Floor & 1st Floor, Block A, Lot 10,Kompleks Sri Rangan, Lrg Tam Yat Sang, 89150 Kota Belud, Sabah,",Pasar Mini,Sabah,Kota Belud
22131,88 FRESHMART KUNDASANG,"PEKAN KUNDASANG,KUNDASANG,",Pasar Mini,Sabah,Ranau
21233,88 FRESHMART TAMPARULI,"PEKAN TAMPARULI,TAMPARULI,",Pasar Mini,Sabah,Tamparuli
18509,88 LAWAS RESTAURANT,"LOT 261, JALAN MASJID BARU, 98850 LAWAS, SARAWAK.,",Restoran Cina,Sarawak,Lawas
21940,99 SPED MART TAMAN WAWASAN,"NO. 164 & 166, GROUND FLOOR,JALAN WAWASAN 3,",Pasar Mini,Johor,Mersing
18119,99 SPEED MART,"99 SPEEDMART SDN BHD(519537-X)(1816) PK PEKAN BARU TELUK INTAN,NO.20 & 21 (G) LORONG  1 PEKAN BARU,36000 TELUK INTAN, PERAK",Pasar Mini,Perak,Hilir Perak
